week,startsMonth,startsDay,specialEvent,series1,car1,track1,laps-time1,dttr1,series2,car2,track2,laps-time2,dttr2,series3,car3,track3,laps-time3,dttr3,series4,car4,track4,laps-time4,dttr4,series5,car5,track5,laps-time5,dttr5,series6,car6,track6,laps-time6,dttr6
1,3,14,No,Street Stock - C,Street Stock,South Boston,50,Any,iRacing Global Challenge,Cadillac CTS-V,Summit Point,25m,Any,IMSA,Audi R8 LMS,Laguna Seca,45m,Fri-15:45 / Sun-11:45 / Sun-15:45,Skip Barber Race Series,Skip Barber Formula 2000,Laguna Seca,14,Any,-,-,-,-,-,-,-,-,-,-
2,3,21,Jaz HB,Street Stock - C,Street Stock,Bristol,50,Any,ProtoGT,HPD ARX-01c,Circuit de la Sarthe,60m,Fri-14:45 / Fri-16:45 / Fri-20:45,iRacing Global Challenge,Cadillac CTS-V,Nurburgring Nordschleife,25m,Any,iRacing Formula Renault 2.0.,FR 2.0.,Spa,13,Wed-15:45 / Sun-11:45 / Sun-15:45,IMSA,Audi R8 LMS,Silverstone GP,45m,Fri-15:45 / Sun-11:45 / Sun-15:45,-,-,-,-,-
3,3,28,11 months <3,Blancpain Sprint Series,Audi R8 LMS,Road America,40m,Any,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,4,4,No,Street Stock - C,Street Stock,Concord,50,Any,iRacing Global Challenge,Cadillac CTS-V,Laguna Seca,25m,Any,iRacing Formula Renault 2.0.,FR 2.0.,Interlagos,20,Wed-15:45 / Sun-11:45 / Sun-15:45,Blancpain Sprint Series,Audi R8 LMS,Okayama,40m,Any,Skip Barber Race Series,Skip Barber Formula 2000,Barber,18,Any,-,-,-,-,-
5,4,11,No,ProtoGT,HPD ARX-01c,Silverstone,60m,Fri-14:45 / Fri-16:45 / Fri-20:45,iRacing Formula Renault 2.0.,FR 2.0.,Nurburgring GP,16L,Wed-15:45 / Sun-11:45 / Sun-15:45,IMSA,Audi R8 LMS,Watkins Glen - Classic boot,45m,Fri-15:45 / Sun-11:45 / Sun-15:45,Blancpain Sprint Series,Audi R8 LMS,Monza,40m,Any,Skip Barber Race Series,Skip Barber Formula 2000,Road America,13,Any,Skip Barber Race Series,Skip Barber Formula 2000,Road America,13,Any
6,4,18,Nurb 24h,Street Stock - C,Street Stock,Thompson Motorspeedway,50,Any,iRacing Global Challenge,Cadillac CTS-V,Road America,25m,Any,Blancpain Sprint Series,Audi R8 LMS,Barber,40m,Any,IMSA,Audi R8 LMS,Barber,45m,Fri-15:45 / Sun-11:45 / Sun-15:45,Skip Barber Race Series,Skip Barber Formula 2000,Silverstone - International,15,Any,-,-,-,-,-
7,4,25,No,Street Stock - C,Street Stock,Phoenix 2008,40,Any,ProtoGT,HPD ARX-01c,Interlagos,75m,Fri-14:45 / Fri-16:45 / Fri-20:45,iRacing Global Challenge,Cadillac CTS-V,Watkins Glen - Classic boot,25m,Any,IMSA,Audi R8 LMS,Sebring,45m,Fri-15:45 / Sun-11:45 / Sun-15:45,-,-,-,-,-,-,-,-,-,-
8,5,2,1 year <3,Street Stock - C,Street Stock,Oxford Plains,50,Any,ProtoGT,HPD ARX-01c,Spa,75m,Fri-14:45 / Fri-16:45 / Fri-20:45,iRacing Formula Renault 2.0.,FR 2.0.,Silverstone,24,Wed-15:45 / Sun-11:45 / Sun-15:45,Blancpain Sprint Series,Audi R8 LMS,Silverstone,40m,Any,Skip Barber Race Series,Skip Barber Formula 2000,Okayama,14,Any,-,-,-,-,-
9,5,9,No,Street Stock - C,Street Stock,Lanier,50,Any,ProtoGT,HPD ARX-01c,Road America,60m,Fri-14:45 / Fri-16:45 / Fri-20:46,iRacing Global Challenge,Cadillac CTS-V,Watkins Glen - Boot,25m,Any,IMSA,Audi R8 LMS,Monza,45m,Fri-15:45 / Sun-11:45 / Sun-15:45,Skip Barber Race Series,Skip Barber Formula 2000,Interlagos,13,Any,-,-,-,-,-
10,5,16,Indy 500,ProtoGT,HPD ARX-01c,Nurburgring Combined,60m,Fri-14:45 / Fri-16:45 / Fri-20:45,Blancpain Sprint Series,Audi R8 LMS,Nurburgring Combined,60m,Any,-,-,-,-,-,-,-,-,-,-,Skip Barber Race Series,Skip Barber Formula 2000,Watkins Glen - Cup,17,Any,-,-,-,-,-
11,5,23,No,ProtoGT,HPD ARX-01c,Monza,60m,Fri-14:45 / Fri-16:45 / Fri-20:46,iRacing Global Challenge,Cadillac CTS-V,Okayama,25m,Any,iRacing Formula Renault 2.0.,FR 2.0.,Okayama,20,Wed-15:45 / Sun-11:45 / Sun-15:45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,5,30,Le Mans 24h,ProtoGT,HPD ARX-01c,Circuit De la Sarthe,90m,Fri-14:45 / Fri-16:45 / Fri-20:47,Street Stock - C,Street Stock,USA International Speedway,50,Any,iRacing Global Challenge,Cadillac CTS-V,Interlagos,25m,Any,iRacing Formula Renault 2.0.,FR 2.0.,Monza,16,Wed-15:45 / Sun-11:45 / Sun-15:45,IMSA,Audi R8 LMS,Road America,75m,Fri-15:45 / Sun-11:45 / Sun-15:45,Skip Barber Race Series,Skip Barber Formula 2000,Sebring,10,Any
